state,yr,qtr,index_nsa,index_sa,date
AL,2011,1,170.12,171.33,1/1/2011
AL,2011,2,171.81,170.2,4/1/2011
AL,2011,3,173.72,171.04,7/1/2011
AL,2011,4,170.28,170.98,10/1/2011
AL,2012,1,171.63,172.9,1/1/2012
AL,2012,2,178.12,176.3,4/1/2012
AL,2012,3,175.07,172.43,7/1/2012
AL,2012,4,175.55,176.38,10/1/2012
AL,2013,1,176.11,177.34,1/1/2013
AL,2013,2,181.36,179.36,4/1/2013
AL,2013,3,182.69,180.11,7/1/2013
AL,2013,4,179.77,180.67,10/1/2013
AL,2014,1,181.04,182.2,1/1/2014
AL,2014,2,183.69,181.53,4/1/2014
AL,2014,3,185.45,183.05,7/1/2014
AL,2014,4,184.79,185.73,10/1/2014
AL,2015,1,184.39,185.42,1/1/2015
AL,2015,2,191.06,188.8,4/1/2015
AL,2015,3,191.82,189.5,7/1/2015
AL,2015,4,189.01,189.92,10/1/2015
AL,2016,1,191.29,192.25,1/1/2016
AL,2016,2,196.39,194.09,4/1/2016
AL,2016,3,198.63,196.34,7/1/2016
AL,2016,4,197.31,198.26,10/1/2016
AL,2017,1,198.87,199.66,1/1/2017
AL,2017,2,204.51,202.26,4/1/2017
AL,2017,3,206.79,204.49,7/1/2017
AL,2017,4,206.98,207.94,10/1/2017
AL,2018,1,209.35,210.01,1/1/2018
AL,2018,2,215.7,213.46,4/1/2018
AL,2018,3,218.34,215.96,7/1/2018
AL,2018,4,217.11,218.09,10/1/2018
AL,2019,1,221.7,222.21,1/1/2019
AL,2019,2,226.78,224.6,4/1/2019
AL,2019,3,230.66,228.12,7/1/2019
AL,2019,4,231.37,232.47,10/1/2019
AL,2020,1,237.94,238.3,1/1/2020
AL,2020,2,241.92,239.8,4/1/2020
AL,2020,3,249.65,246.78,7/1/2020
AL,2020,4,257.11,258.42,10/1/2020
AL,2021,1,264.84,265.18,1/1/2021
AL,2021,2,280.62,278.23,4/1/2021
AL,2021,3,294.04,290.55,7/1/2021
AL,2021,4,301.46,303.03,10/1/2021
AL,2022,1,314.57,315.08,1/1/2022
AL,2022,2,326.82,323.97,4/1/2022
AL,2022,3,333.34,329.29,7/1/2022
AL,2022,4,331.04,332.74,10/1/2022
AL,2023,1,338.57,339.39,1/1/2023
AL,2023,2,342.98,339.77,4/1/2023
AL,2023,3,351.81,347.53,7/1/2023
AL,2023,4,347.5,349.28,10/1/2023
AL,2024,1,350.17,351.16,1/1/2024
AL,2024,2,362.73,359.24,4/1/2024
AL,2024,3,365.6,361.1,7/1/2024
AR,1991,1,100,100,1/1/1991
AR,1991,2,100.23,99.92,4/1/1991
AR,1991,3,101.51,101.22,7/1/1991
AR,1991,4,102.97,102.81,10/1/1991
AR,1992,1,102.8,102.82,1/1/1992
AR,1992,2,103.95,103.6,4/1/1992
AR,1992,3,105.09,104.81,7/1/1992
AR,1992,4,105.59,105.43,10/1/1992
AR,1993,1,107.37,107.38,1/1/1993
AR,1993,2,109.51,109.14,4/1/1993
AR,1993,3,111.48,111.2,7/1/1993
AR,1993,4,111.53,111.36,10/1/1993
AR,1994,1,115.07,115.06,1/1/1994
AR,1994,2,116.57,116.19,4/1/1994
AR,1994,3,117.06,116.75,7/1/1994
AR,1994,4,119.11,118.92,10/1/1994
AR,1995,1,118.99,119.01,1/1/1995
AR,1995,2,121.51,121.09,4/1/1995
AR,1995,3,122.76,122.43,7/1/1995
AR,1995,4,123.44,123.28,10/1/1995
AR,1996,1,124.02,124.04,1/1/1996
AR,1996,2,125.74,125.29,4/1/1996
AR,1996,3,125.31,124.96,7/1/1996
AR,1996,4,125.78,125.63,10/1/1996
AR,1997,1,127.32,127.35,1/1/1997
AR,1997,2,127.97,127.48,4/1/1997
AR,1997,3,128.26,127.9,7/1/1997
